                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.66118,                0.44533,                 1.0763,                0.98061,                 0.9734,                0.99074,                 0.8561,                0.59577,                0.31096,                 1.0217,              0.0006603,              0.0006603,              0.0006603
                     64,                0.66175,                0.42794,                 1.0719,                0.98816,                0.96423,                0.98912,                0.85469,                0.60286,                0.32566,                 1.0361,              0.0006438,              0.0006438,              0.0006438
                     65,                 0.6749,                0.44534,                 1.0867,                0.99037,                 0.9599,                0.99305,                0.85625,                0.60057,                 0.3166,                 1.0231,             0.00062729,             0.00062729,             0.00062729
                     66,                0.66753,                 0.4377,                 1.0766,                 0.9831,                0.96703,                0.99284,                0.86611,                0.58361,                0.31474,                  1.012,             0.00061079,             0.00061079,             0.00061079
                     67,                0.65653,                0.43116,                 1.0751,                 0.9803,                0.96649,                0.99032,                0.85733,                0.61658,                0.31735,                  1.037,             0.00059429,             0.00059429,             0.00059429
                     68,                0.66383,                0.42736,                 1.0743,                0.97553,                0.97758,                0.99381,                0.86865,                0.58357,                0.31082,                 1.0205,             0.00057778,             0.00057778,             0.00057778
                     69,                0.64811,                0.41751,                 1.0647,                0.97479,                0.98359,                0.99338,                0.86836,                0.58819,                0.31053,                 1.0195,             0.00056128,             0.00056128,             0.00056128
                     70,                0.64823,                 0.4108,                 1.0643,                0.97698,                0.98152,                0.99382,                0.86821,                0.58101,                0.29959,                 1.0194,             0.00054478,             0.00054478,             0.00054478
                     71,                0.65261,                0.42477,                 1.0745,                0.99567,                0.97178,                0.99317,                0.86976,                0.57322,                0.28803,                 1.0091,             0.00052827,             0.00052827,             0.00052827
                     72,                0.64897,                0.42582,                 1.0701,                0.98521,                0.98624,                 0.9941,                0.87268,                0.57771,                0.29145,                 1.0142,             0.00051177,             0.00051177,             0.00051177
                     73,                0.62205,                0.40681,                 1.0579,                0.98217,                0.97279,                0.99343,                0.86694,                0.57341,                0.28996,                 1.0011,             0.00049527,             0.00049527,             0.00049527
                     74,                0.64195,                 0.4196,                 1.0724,                0.98451,                 0.9831,                 0.9941,                0.87124,                0.57309,                 0.2892,                0.99964,             0.00047876,             0.00047876,             0.00047876
                     75,                0.63629,                0.41141,                 1.0726,                0.98476,                0.97323,                0.99336,                0.87439,                0.58337,                0.29819,                 1.0112,             0.00046226,             0.00046226,             0.00046226
                     76,                0.64605,                0.41474,                 1.0712,                0.98581,                0.97965,                0.99416,                0.87466,                0.58118,                0.28783,                 1.0042,             0.00044576,             0.00044576,             0.00044576
                     77,                0.62411,                0.40115,                 1.0521,                0.98237,                0.98307,                 0.9944,                0.87522,                0.57221,                0.28214,                0.99939,             0.00042925,             0.00042925,             0.00042925
                     78,                0.62568,                0.40488,                 1.0639,                 0.9923,                0.97858,                0.99419,                0.87253,                0.57921,                0.28666,                 1.0104,             0.00041275,             0.00041275,             0.00041275
                     79,                0.61069,                0.38173,                 1.0455,                0.98991,                 0.9832,                0.99473,                0.87821,                 0.5703,                0.27603,                0.99981,             0.00039625,             0.00039625,             0.00039625
                     80,                0.62562,                 0.3855,                 1.0538,                0.98635,                0.98809,                0.99405,                0.88285,                0.56914,                0.28159,                0.99453,             0.00037974,             0.00037974,             0.00037974
                     81,                0.62546,                0.40878,                 1.0563,                 0.9849,                0.98592,                0.99355,                0.87672,                0.56567,                0.28204,                0.99852,             0.00036324,             0.00036324,             0.00036324
                     82,                0.60994,                0.38852,                 1.0462,                0.98571,                0.98392,                0.99352,                0.87832,                0.57356,                0.27801,                  1.009,             0.00034674,             0.00034674,             0.00034674
                     83,                0.61142,                0.38462,                 1.0456,                0.99309,                0.98157,                0.99441,                0.87919,                0.57063,                0.28124,                 1.0013,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.6079,                0.38238,                 1.0487,                0.99002,                0.98063,                0.99264,                0.88057,                0.56537,                 0.2695,                 1.0031,             0.00031373,             0.00031373,             0.00031373
                     85,                0.61316,                0.38633,                 1.0441,                0.99624,                0.97034,                  0.994,                0.87436,                0.56381,                0.26814,                 0.9958,             0.00029723,             0.00029723,             0.00029723
                     86,                 0.6035,                0.37991,                 1.0499,                0.98117,                0.98833,                 0.9932,                0.87443,                 0.5633,                0.27386,                0.99375,             0.00028072,             0.00028072,             0.00028072
                     87,                0.59885,                0.37646,                  1.047,                0.98722,                0.98217,                0.99283,                0.88044,                0.56046,                0.27077,                0.99352,             0.00026422,             0.00026422,             0.00026422
                     88,                 0.5982,                0.36684,                 1.0405,                0.98814,                0.98539,                0.99233,                0.87754,                0.55932,                0.27042,                0.99639,             0.00024772,             0.00024772,             0.00024772
                     89,                0.59641,                0.37363,                 1.0436,                0.98905,                0.98634,                0.99442,                0.88018,                 0.5607,                0.26464,                0.99362,             0.00023121,             0.00023121,             0.00023121
                     90,                0.59394,                0.36951,                  1.043,                0.98381,                0.98863,                0.99395,                0.88096,                0.56661,                0.26474,                0.99766,             0.00021471,             0.00021471,             0.00021471
                     91,                0.45863,                0.25084,                0.93074,                0.98898,                0.98304,                0.99208,                0.87813,                0.56049,                 0.2618,                0.99102,             0.00019821,             0.00019821,             0.00019821
                     92,                0.45419,                0.24358,                0.92874,                0.99112,                0.98596,                0.99405,                0.88156,                0.56117,                 0.2594,                0.99121,              0.0001817,              0.0001817,              0.0001817
                     93,                0.45251,                0.24059,                0.92719,                  0.991,                0.98809,                0.99423,                0.88185,                0.55562,                 0.2586,                0.98926,              0.0001652,              0.0001652,              0.0001652
                     94,                0.45213,                 0.2371,                0.93281,                0.98446,                0.98702,                0.99348,                0.88252,                0.55348,                0.25931,                 0.9956,              0.0001487,              0.0001487,              0.0001487
                     95,                0.44626,                0.23138,                0.92102,                0.99192,                0.98621,                0.99417,                0.88818,                0.55658,                0.25414,                0.99477,             0.00013219,             0.00013219,             0.00013219
                     96,                0.43826,                0.22791,                0.92465,                 0.9883,                0.98657,                0.99392,                0.88803,                0.54894,                0.25014,                0.99176,             0.00011569,             0.00011569,             0.00011569
                     97,                0.44484,                0.22799,                0.93039,                  0.989,                0.98587,                0.99324,                0.88637,                0.55234,                0.25007,                0.98976,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.43594,                0.22272,                  0.928,                0.99141,                0.98406,                0.99433,                0.88566,                0.54905,                 0.2522,                0.98445,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 0.4312,                0.22215,                0.92114,                0.99125,                0.98732,                0.99448,                 0.8862,                0.54852,                0.24424,                0.98414,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.42933,                0.21922,                0.91469,                0.98515,                0.98907,                0.99421,                0.88615,                0.54612,                0.24226,                0.98342,             4.9677e-05,             4.9677e-05,             4.9677e-05
